,Player,Squad,Salary.2021,Salary 2022,Salary 2023,Salary 2024,Salary 2025,Salary 2026,Salary 2027,Salary 2028,Salary 2029,Salary 2030,Salary 2031
1,i.winter,Fanatical Outlaws,26230000,27080000,27210000,27150000,27200000,27450000,27190000,27290000,27840000,26230000,26230000
2,p.nakubulwa,Fanatical Outlaws,10180000,10570000,10620000,10530000,10670000,10630000,10510000,10560000,10540000,10560000,10650000
3,f.kizito,Fanatical Outlaws,19740000,20300000,20660000,20610000,20500000,20600000,20410000,20680000,20620000,20380000,20480000
4,l.rezaei,Fanatical Outlaws,27030000,27980000,28030000,28280000,28020000,28120000,28690000,27030000,27030000,27030000,27030000
5,s.anyait,Fanatical Outlaws,18960000,19620000,19660000,19840000,19660000,19720000,20120000,18960000,18960000,18960000,18960000
6,j.teko,Fanatical Outlaws,8020000,8390000,8310000,8340000,8510000,8020000,8020000,8020000,8020000,8020000,8020000
7,i.huber,Fanatical Outlaws,27600000,28920000,28830000,28490000,28630000,28560000,28620000,28880000,28610000,28710000,29290000
8,j.bala,Fanatical Outlaws,23030000,24050000,23780000,23890000,23840000,23880000,24100000,23880000,23960000,24440000,23030000
9,d.oren,Fanatical Outlaws,30120000,31560000,31460000,31100000,31250000,31170000,31240000,31520000,31230000,31330000,31970000
10,i.namirimu,Fanatical Outlaws,25950000,26860000,26910000,27150000,26900000,26990000,27540000,25950000,25950000,25950000,25950000
11,m.namukwaya,Fanatical Outlaws,27750000,29040000,28770000,28870000,29450000,27750000,27750000,27750000,27750000,27750000,27750000
12,i.kamukama,Fanatical Outlaws,34090000,35610000,35190000,35370000,35280000,35350000,35670000,35340000,35460000,36180000,34090000
13,w.lew,Fanatical Outlaws,23090000,24100000,23870000,24190000,24120000,23840000,23960000,23900000,23950000,24160000,23940000
14,b.derosa,Fanatical Outlaws,27370000,28430000,28560000,28300000,28680000,28590000,28260000,28400000,28330000,28380000,28640000
15,d.john,Fanatical Outlaws,32840000,34270000,33950000,34410000,34300000,33900000,34070000,33990000,34060000,34360000,34050000
16,s.kiconco,Fanatical Outlaws,17580000,18660000,17580000,17580000,17580000,17580000,17580000,17580000,17580000,17580000,17580000
17,r.chee,Fanatical Outlaws,5250000,5440000,5460000,5570000,5250000,5250000,5250000,5250000,5250000,5250000,5250000
18,d.alshehri,Fanatical Outlaws,21620000,22410000,22490000,22950000,21620000,21620000,21620000,21620000,21620000,21620000,21620000
19,e.taylor,Fanatical Outlaws,32720000,34170000,33780000,33950000,33860000,33930000,34240000,33920000,34040000,34730000,32720000
20,h.tourgeman,Fanatical Outlaws,30700000,32060000,31690000,31850000,31770000,31840000,32120000,31830000,31930000,32580000,30700000
21,d.ikeda,Fighting Cougars,17210000,17770000,17860000,17810000,17850000,18010000,17840000,17900000,18270000,17210000,17210000
22,g.kohler,Fighting Cougars,23440000,24560000,24480000,24200000,24320000,24260000,24310000,24530000,24300000,24380000,24880000
23,i.ludwig,Fighting Cougars,27450000,28340000,28480000,28410000,28470000,28720000,28460000,28550000,29130000,27450000,27450000
24,k.toth,Fighting Cougars,26350000,27240000,27610000,27520000,27200000,27340000,27270000,27330000,27570000,27320000,27410000
25,u.ortiz,Fighting Cougars,15200000,15800000,15630000,15910000,15870000,15790000,15860000,15720000,15930000,15880000,15690000
26,y.rabinovitch,Fighting Cougars,15950000,16470000,16550000,16510000,16540000,16690000,16540000,16590000,16930000,15950000,15950000
27,r.petrenko,Fighting Cougars,18590000,19220000,19480000,19420000,19190000,19290000,19240000,19280000,19450000,19270000,19340000
28,z.no,Fighting Cougars,14730000,15380000,15300000,15370000,15230000,15430000,15380000,15210000,15280000,15250000,15280000
29,w.nabatanzi,Fighting Cougars,10230000,10640000,10520000,10710000,10680000,10630000,10680000,10580000,10720000,10680000,10560000
30,v.taheri,Fighting Cougars,28630000,29700000,29630000,29690000,29960000,29680000,29780000,30390000,28630000,28630000,28630000
31,r.bintihassan,Fighting Cougars,18910000,19450000,19790000,19740000,19640000,19740000,19550000,19810000,19750000,19520000,19620000
32,k.goncalves,Fighting Cougars,30370000,31790000,31700000,31540000,31700000,31400000,31820000,31720000,31350000,31510000,31430000
33,g.bellini,Fighting Cougars,24400000,25560000,25480000,25190000,25310000,25250000,25300000,25530000,25300000,25380000,25900000
