,Player,Nation,Age,sal0,sal1,sal2,sal3,sal4,sal5,sal6,sal7,sal8,sal9
0,a.aceng,Esia,24,15610000,16290000,16140000,16350000,16300000,16120000,16200000,16160000,16190000,16330000
1,a.agyapong,Imaar Vircoand,22,5800000,6000000,6020000,6050000,6000000,6080000,6060000,5990000,6020000,6000000
2,a.ainomugisha,Moaithe,20,32570000,33710000,34090000,34000000,33830000,33990000,33670000,34120000,34020000,33630000
3,a.akoth,Unicorporated Tiagascar,27,20000000,20890000,20650000,20750000,20700000,20740000,20930000,20730000,20800000,21230000
4,a.alqahtani,Byasier Pujan,16,16610000,17480000,17220000,17380000,17270000,17080000,17390000,17340000,17250000,17330000
5,a.amongin,Sobianitedrucy,30,8340000,8630000,8650000,8730000,8650000,8680000,8850000,8340000,8340000,8340000
6,a.andama,Byasier Pujan,20,17220000,17710000,18020000,17980000,17890000,17970000,17800000,18040000,17990000,17780000
7,a.anwar,Dosqaly,28,19460000,20650000,20190000,20140000,20180000,20360000,20170000,20240000,20650000,19460000
8,a.aryemo,Ngoque Blicri,28,32610000,33670000,33830000,33750000,33820000,34120000,33810000,33920000,34610000,32610000
9,a.ashaba,Byasier Pujan,27,31220000,32610000,32230000,32390000,32310000,32380000,32670000,32370000,32480000,33140000
10,a.avako,People's Land of Maneau,25,32070000,33160000,33600000,33500000,33110000,33270000,33190000,33260000,33560000,33250000
11,a.baguma,Rarita,18,5310000,5540000,5520000,5460000,5560000,5540000,5520000,5540000,5490000,5560000
12,a.barbieri,Nganion,32,12540000,13090000,13000000,13040000,13310000,12540000,12540000,12540000,12540000,12540000
13,a.berisha,People's Land of Maneau,23,16380000,17010000,17090000,16940000,17160000,17110000,16910000,16990000,16950000,16990000
14,a.berkowitz,Sobianitedrucy,34,13820000,14270000,14670000,13820000,13820000,13820000,13820000,13820000,13820000,13820000
15,a.bintizakaria,Zacia Lygia,31,17100000,17920000,17890000,17730000,17790000,18150000,17100000,17100000,17100000,17100000
16,a.blanchard,Esia,20,30790000,31660000,32230000,32140000,31980000,32130000,31830000,32260000,32160000,31790000
17,a.bondarenko,Biarizea,24,27220000,28270000,28140000,28520000,28430000,28100000,28240000,28170000,28230000,28480000
18,a.bruno,People's Land of Maneau,29,30890000,32050000,31970000,32030000,32320000,32020000,32130000,32790000,30890000,30890000
19,a.caron,Sobianitedrucy,24,26890000,27930000,27800000,28170000,28090000,27760000,27900000,27830000,27890000,28140000
20,a.cheang,Manlisgamncent,20,12790000,13360000,13390000,13350000,13280000,13350000,13220000,13400000,13360000,13200000
21,a.chelimo,Dosqaly,21,21760000,22780000,22720000,22600000,22710000,22500000,22800000,22730000,22470000,22580000
22,a.chipeta,Zamlie Niabangthe,22,22410000,23390000,23280000,23390000,23170000,23480000,23410000,23140000,23250000,23190000
23,a.davies,Rosvi,29,19670000,20530000,20360000,20400000,20580000,20390000,20460000,20880000,19670000,19670000
24,a.dekker,Nancipenuaroe,27,28600000,29850000,29530000,29670000,29600000,29660000,29930000,29650000,29750000,30360000
25,a.engi,Dosqaly,26,28800000,30170000,30080000,29730000,29880000,29810000,29870000,30140000,29860000,29960000
26,a.fatimah,Nganion,19,16510000,17070000,16980000,17280000,17230000,17150000,17230000,17070000,17300000,17240000
27,a.fekete,Byasier Pujan,17,7380000,7650000,7720000,7670000,7590000,7720000,7700000,7670000,7700000,7630000
28,a.goossens,Esia,17,1310000,1360000,1370000,1360000,1350000,1370000,1370000,1360000,1370000,1350000
29,a.grgi,Unicorporated Tiagascar,30,16260000,16830000,16860000,17010000,16860000,16910000,17260000,16260000,16260000,16260000
30,a.guo,Esia,19,5300000,5510000,5450000,5550000,5530000,5500000,5530000,5480000,5550000,5540000
31,a.haruna,Dosqaly,25,23430000,24220000,24550000,24470000,24190000,24310000,24250000,24300000,24520000,24290000
32,a.harutyunyan,Western Niasland,22,28090000,29340000,29180000,29320000,29040000,29430000,29340000,29000000,29140000,29070000
33,a.hasibuan,Rarita,26,680000,720000,710000,700000,710000,700000,710000,710000,700000,710000
34,a.hudak,Nganion,29,17740000,18390000,18360000,18400000,18560000,18390000,18450000,18830000,17740000,17740000
35,a.janssen,People's Land of Maneau,21,19030000,19920000,19870000,19770000,19860000,19680000,19940000,19880000,19650000,19740000
36,a.johannessen,Nganion,30,14920000,15500000,15470000,15610000,15470000,15520000,15840000,14920000,14920000,14920000
37,a.kalule,Janmico,23,22920000,23810000,23920000,23700000,24010000,23940000,23660000,23780000,23720000,23770000
38,a.karlsson,Ngoque Blicri,29,20670000,21440000,21390000,21440000,21630000,21430000,21500000,21940000,20670000,20670000
39,a.katusiime,Greri Landmoslands,24,8690000,9090000,8980000,9100000,9080000,8970000,9020000,8990000,9010000,9090000
40,a.kawala,Nganion,20,25770000,26770000,26970000,26900000,26770000,26890000,26640000,27000000,26920000,26610000
41,a.kovaevi,Sobianitedrucy,28,13590000,14050000,14100000,14070000,14090000,14220000,14090000,14140000,14420000,13590000
42,a.kozowski,Dosqaly,19,33600000,34930000,34550000,35170000,35070000,34900000,35070000,34740000,35200000,35090000
43,a.kuloba,Coastpa Barleslands,34,24610000,25310000,26120000,24610000,24610000,24610000,24610000,24610000,24610000,24610000
44,a.kyarikunda,Rarita,30,8870000,9280000,9200000,9280000,9200000,9230000,9410000,8870000,8870000,8870000
45,a.lalam,Greri Landmoslands,26,10510000,10900000,10980000,10850000,10900000,10880000,10900000,11000000,10900000,10930000
46,a.lamunu,Dosqaly,20,25300000,26020000,26480000,26410000,26280000,26400000,26160000,26510000,26420000,26120000
47,a.logose,Lylimi,25,24420000,25250000,25590000,25510000,25210000,25340000,25270000,25320000,25550000,25320000
48,a.luna,Nganion,20,15810000,16550000,16550000,16500000,16420000,16500000,16350000,16560000,16510000,16320000
49,a.malkah,Esia,30,13490000,13960000,13990000,14120000,13990000,14030000,14320000,13490000,13490000,13490000
50,a.maposa,Nganion,29,23200000,24100000,24010000,24060000,24280000,24050000,24130000,24620000,23200000,23200000
51,a.marchenko,Ingre,26,20140000,20950000,21040000,20790000,20890000,20840000,20890000,21070000,20880000,20950000
52,a.mbusa,Dosqaly,35,22320000,23690000,22320000,22320000,22320000,22320000,22320000,22320000,22320000,22320000
53,a.miura,Rosvi,31,16090000,16690000,16840000,16680000,16740000,17080000,16090000,16090000,16090000,16090000
54,a.mor,Esia,35,22000000,23350000,22000000,22000000,22000000,22000000,22000000,22000000,22000000,22000000
55,a.mtambo,Rarita,28,6520000,6830000,6760000,6750000,6760000,6820000,6760000,6780000,6920000,6520000
56,a.mucunguzi,Esia,28,10000000,10320000,10370000,10350000,10370000,10460000,10370000,10400000,10610000,10000000
57,a.mugisha,Nganion,20,16380000,16910000,17140000,17100000,17010000,17090000,16940000,17160000,17110000,16910000
58,a.muller,Nganion,32,10730000,11130000,11120000,11160000,11390000,10730000,10730000,10730000,10730000,10730000
59,a.mumpande,Esia,29,16800000,17430000,17390000,17420000,17580000,17420000,17480000,17830000,16800000,16800000
60,a.murata,Nganion,30,19930000,20800000,20670000,20850000,20660000,20730000,21150000,19930000,19930000,19930000
61,a.musonza,Dosqaly,34,28950000,30110000,30730000,28950000,28950000,28950000,28950000,28950000,28950000,28950000
62,a.mwesigwa,Esia,25,22540000,23300000,23620000,23540000,23270000,23380000,23330000,23370000,23580000,23370000
