,Player,Nation,Age,FW,MF,DF,GK,Raritan
0,a.acheng,Southern Ristan,25,0,0,1,0,0
1,a.alghamdi,Ledian,34,0,0,1,0,0
2,a.ansah,Varijitri Isles,22,0,0,1,0,0
3,a.azmi,Giumle Lizeibon,23,1,0,0,0,0
4,a.dickson,Esia,27,0,0,1,0,0
5,a.gautier,Greri Landmoslands,23,0,0,1,0,0
6,a.kamusiime,People's Land of Maneau,30,0,0,1,0,0
7,a.khainza,Sobianitedrucy,21,0,0,0,1,0
8,a.kiss,Mico,25,0,1,0,0,0
9,a.kuhn,Esia,30,0,1,0,0,0
10,a.lefevre,Southern Ristan,29,0,1,0,0,0
11,a.lekuru,Leoneku Guidisia,23,1,0,1,0,0
12,a.lombardi,Ngoque Blicri,28,0,1,0,0,0
13,a.mwesige,Eastern Niasland,23,1,1,0,0,0
14,a.nangobi,Ngoque Blicri,29,0,0,1,0,0
15,a.ngabirano,Xikong,27,1,0,0,0,0
16,a.nsereko,Byasier Pujan,21,0,1,0,0,0
17,a.ono,People's Land of Maneau,17,0,1,0,0,0
18,a.pinto,Leoneku Guidisia,27,0,0,1,0,0
19,b.amin,Southern Ristan,18,0,1,0,0,0
20,b.goldberg,Xikong,29,1,1,0,0,0
21,b.harahap,Esia,34,0,0,0,1,0
22,b.klemeni,Dosqaly,24,0,0,1,0,0
23,b.luki,Dosqaly,22,0,0,1,0,0
24,b.male,Nganion,23,1,0,0,0,0
25,b.mangwiro,Dosqaly,24,0,0,1,0,0
26,b.namazzi,Ledian,33,0,1,0,0,0
27,b.opoka,Ngoque Blicri,29,0,0,1,0,0
28,b.owor,Mico,20,1,1,0,0,0
29,b.phillips,Southern Ristan,27,1,0,0,0,0
30,b.sah,Sobianitedrucy,30,1,0,0,0,0
31,b.schneider,Bernepamar,25,0,1,0,0,0
32,b.sugawara,Greri Landmoslands,26,1,1,0,0,0
33,b.taremwa,Ledian,25,1,0,1,0,0
34,b.yang,Manlisgamncent,29,0,1,0,0,0
35,c.alanazi,Sobianitedrucy,32,0,0,1,0,0
36,c.begum,Eastern Sleboube,31,0,0,1,0,0
37,c.busingye,Greri Landmoslands,27,0,0,1,0,0
38,c.carvalho,Byasier Pujan,25,0,0,1,0,0
39,c.imalingat,New Uwi,23,0,0,1,0,0
40,c.ji,Greri Landmoslands,26,0,1,0,0,0
41,c.kalua,Varijitri Isles,26,0,1,0,0,0
42,c.lawal,Ledian,28,0,1,0,0,0
43,c.magombo,Djipines,23,0,0,1,0,0
44,c.malkah,Varijitri Isles,21,0,0,1,0,0
45,c.mawejje,Djipines,23,1,1,0,0,0
46,c.meunier,Xikong,32,0,1,1,0,0
47,c.mitrovi,Southern Ristan,25,0,1,0,0,0
48,c.muhammadu,Nganion,24,0,1,0,0,0
