,Player,Age,FW,MF,DF,GK,Salary
0,i.winter,27,0,0,1,0,7541074.923
1,p.nakubulwa,22,0,0,1,0,7240163.718
2,m.mahlangu,34,0,0,1,0,5086467.615
3,i.huber,25,0,0,1,0,806102.6237
4,a.kobusingye,18,0,0,1,0,4170104.23
5,f.kizito,19,0,0,1,0,3594106.648
6,j.bala,26,0,0,1,0,3837685.817
7,l.rezaei,29,0,0,1,0,7993303.197
8,j.teko,31,0,0,1,0,8902871.621
9,d.oren,25,1,0,0,0,619823.5614
10,f.lubowa,31,1,0,0,0,3024243.754
11,b.derosa,22,1,0,0,0,365507.2984
12,i.namirimu,29,1,0,0,0,2257478.315
13,f.dauda,33,0,0,0,1,7704970.289
14,s.kiconco,34,0,0,0,1,6453840.843
15,r.namuganza,33,0,0,0,1,9706643.234
16,r.chee,32,0,0,0,1,2411200.664
17,f.pop,24,0,1,0,0,1956490.45
18,d.alshehri,32,0,1,0,0,9077587.804
19,i.iddrisu,20,0,1,0,0,6427691.666
20,l.goodarzi,27,0,1,0,0,2535035.705
21,y.joseph,21,0,1,0,0,7548329.27
22,i.horvath,33,0,1,1,0,7383758.444
23,j.akello,29,1,1,0,0,337179.7929
24,i.kamukama,26,1,1,0,0,6626242.82
25,w.lew,23,1,1,0,0,5281358.288
26,m.namukwaya,31,1,1,0,0,6264188.59
27,u.pichler,22,1,1,0,0,6725316.681
28,h.tourgeman,26,1,1,0,0,8647085.839
29,r.petrenko,24,0,0,1,0,2814731.899
30,z.salisu,28,0,0,1,0,4668273.652
31,d.ikeda,27,0,0,1,0,7800069.665
32,i.ludwig,27,0,0,1,0,9622418.415
33,k.toth,24,0,0,1,0,994321.3226
34,u.ortiz,18,0,0,1,0,7525872.621
35,o.ilukol,30,0,0,1,0,633056.8028
36,d.binsalleh,27,0,0,1,0,2476190.755
37,g.kohler,25,1,0,1,0,5624903.159
38,l.wafula,22,1,0,0,0,7291692.479
39,k.turyahabwe,35,1,0,0,0,5671929.432
40,r.bintihassan,19,1,0,0,0,3801137.905
41,p.chew,28,1,1,0,0,6913135.901
42,m.hsieh,25,1,1,0,0,6612138.876
43,f.cho,24,1,1,0,0,9345128.342
44,z.marini,27,0,0,0,1,5319851.867
45,i.azulay,27,0,1,0,0,2321913.225
46,t.ansari,30,0,1,0,0,5870477.242
47,h.narvaez,22,0,1,0,0,8553742.937
48,b.kakooza,31,0,1,1,0,3581641.671
49,o.kia,20,0,1,1,0,6319678.213
50,h.engel,25,1,1,0,0,2978360.392
51,n.mousa,26,1,1,0,0,940686.6335
52,m.kamanga,28,1,1,0,0,2624077.058
53,q.nabimanya,20,1,1,0,0,4660279.94
54,d.daniel,26,0,0,1,0,5970860.734
55,h.akugizibwe,25,0,0,1,0,2577449.63
56,i.akpan,36,0,0,1,0,1021393.236
