,Player,Squad,Salary0,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,
0,i.winter,Fanatical Outlaws,26230000,27002076.14,27796878.22,28615075.19,29457355.66,30324428.53,31217023.56,32135891.99,33081807.18,34055565.24,35057985.73
1,p.nakubulwa,Fanatical Outlaws,10180000,10415316.58,10656072.64,10902393.92,11154409.06,11412249.67,11676050.42,11945949.07,12222086.58,12504607.18,12793658.4
2,m.mahlangu,Fanatical Outlaws,27600000,29837837.84,32257121.99,34872564.31,37700069.52,40756831.92,44061439.91,47633989.09,51496204.43,55671572.35,60185483.62
3,i.huber,Fanatical Outlaws,19740000,21504834.44,23427452.09,25521959.39,27803723.97,30289487.37,32997487.9,35947594.43,39161452.22,42662641.65,46476851.34
4,a.kobusingye,Fanatical Outlaws,23030000,23551549.73,24084910.76,24630350.57,25188142.7,25758566.89,26341909.22,26938462.22,27548525.09,28172403.76,28810411.13
5,f.kizito,Fanatical Outlaws,27030000,28417771.3,29876793.39,31410724.44,33023410.41,34718894.73,36501428.41,38375480.74,40345750.47,42417177.56,44594955.64
6,j.bala,Fanatical Outlaws,8020000,8418900.52,8837641.65,9277210.21,9738642.13,10223024.86,10731499.92,11265265.62,11825579.88,12413763.17,13031201.65
7,l.rezaei,Fanatical Outlaws,30120000,30931278.55,31764408.8,32619979.3,33498594.5,34400875.09,35327458.49,36278999.31,37256169.77,38259660.19,39290179.51
8,j.teko,Fanatical Outlaws,27370000,29262378.91,31285598.07,33448703.88,35761368.17,38233931.51,40877449.44,43703741.84,46725445.86,49956072.39,53410066.46
9,d.oren,Fanatical Outlaws,25950000,26669405.94,27408755.81,28168602.5,28949514.26,29752075.05,30576885.05,31424561.07,32295737.02,33191064.38,34111212.7
10,f.lubowa,Fanatical Outlaws,17580000,18484234.45,19434978.57,20434624.59,21485687.82,22590812.91,23752780.56,24974514.49,26259088.8,27609735.71,29029853.7
11,b.derosa,Fanatical Outlaws,5250000,5579453.44,5929581.09,6301680.3,6697129.88,7117395.11,7564033.27,8038699.32,8543152.12,9079260.85,9649012.04
12,i.namirimu,Fanatical Outlaws,32160000,33043629.39,33951537.42,34884391.16,35842876.03,36827696.27,37839575.46,38879257.09,39947505.05,41045104.23,42172861.09
13,f.dauda,Fanatical Outlaws,21620000,23139821.78,24766482.52,26507492.68,28370890.68,30365280.02,32499869.02,34784513.27,37229761.24,39846902.87,42648021.78
14,s.kiconco,Fanatical Outlaws,17300000,18451911.22,19680521.83,20990938.82,22388609.22,23879342.76,25469335.99,27165198.07,28973978.21,30903195.01,32960867.67
15,r.namuganza,Fanatical Outlaws,29220000,30690452.91,32234904.17,33857077.64,35560884.57,37350433.03,39230037.86,41204230.99,43277772.45,45455661.79,47743150.17
16,r.chee,Fanatical Outlaws,34090000,36939863.32,40027970.14,43374237.19,47000246.21,50929383.13,55186988.91,59800522.94,64799740.21,70216883.15,76086889.59
17,f.pop,Fanatical Outlaws,23090000,23373437.09,23660353.46,23950791.82,24244795.4,24542407.97,24843673.83,25148637.82,25457345.34,25769842.35,26086175.35
18,d.alshehri,Fanatical Outlaws,27750000,30021929.82,32479865.6,35139035.88,38015916.01,41128330.19,44495561.9,48138473.4,52079634.97,56343464.73,60956379.97
19,i.iddrisu,Fanatical Outlaws,30700000,32232900.14,33842340.43,35532142.65,37306319.41,39169083.65,41124858.69,43178288.7,45334249.77,47597861.42,49974498.82
20,l.goodarzi,Fighting Cougars,18590000,20127437.39,21792024.53,23594276.99,25545580.04,27658260.51,29945664.7,32422242.67,35103639.56,38006794.38,41150047.03
21,y.joseph,Fighting Cougars,17210000,17961437.23,18745684.34,19564173.9,20418401.02,21309926.1,22240377.7,23211455.44,24224933.18,25282662.22,26386574.7
22,i.horvath,Fighting Cougars,27450000,28444790.49,29475632.27,30543831.86,31650743.09,32797768.89,33986363,35218031.88,36494336.54,37816894.61,39187382.29
23,j.akello,Fighting Cougars,26350000,28774243.68,31421521.8,34312353.89,37469147.33,40916370.99,44680744.95,48791447.55,53280341.61,58182221.36,63535082.17
24,i.kamukama,Fighting Cougars,15200000,15835503.77,16497577.61,17187332.39,17905925.46,18654562.5,19434499.66,20247045.57,21093563.58,21975474.05,22894256.72
25,w.lew,Fighting Cougars,23440000,23580841.2,23722528.66,23865067.46,24008462.71,24152719.57,24297843.21,24443838.83,24590711.68,24738467.03,24887110.18
26,m.namukwaya,Fighting Cougars,24770000,24961468.67,25154417.37,25348857.54,25544800.7,25742258.48,25941242.58,26141764.79,26343837.02,26547471.24,26752679.52
27,u.pichler,Fighting Cougars,18910000,19465873.71,20038087.74,20627122.44,21233472.25,21857646.18,22500168.17,23161577.58,23842429.61,24543295.81,25264764.49
28,h.tourgeman,Fighting Cougars,28480000,28500014.05,28520042.17,28540084.37,28560140.65,28580211.02,28600295.5,28620394.09,28640506.8,28660633.65,28680774.65
29,r.petrenko,Fighting Cougars,17540000,17610280.48,17680842.57,17751687.38,17822816.07,17894229.76,17965929.59,18037916.71,18110192.28,18182757.45,18255613.37
30,z.salisu,Fighting Cougars,32370000,34973861.82,37787179.81,40826802.75,44110934.74,47659244.25,51492981.85,55635107.56,60110428.3,64945746.46,70170020.46
31,d.ikeda,Fighting Cougars,22740000,22800158.73,22860476.61,22920954.06,22981591.51,23042389.37,23103348.07,23164468.04,23225749.7,23287193.48,23348799.81
32,i.ludwig,Fighting Cougars,21300000,23159264.93,25180824.04,27378843.91,29768727.68,32367223.05,35192539.61,38264476.45,41604560.92,45236199.47,49184841.69
33,k.toth,Fighting Cougars,18780000,20410208.33,22181927.81,24107442.37,26200102.3,28474416.74,30946154.3,33632452.42,36551936.13,39724847.26,43173184.69
34,u.ortiz,Fighting Cougars,23910000,24379023.45,24857247.37,25344852.22,25842022.03,26348944.42,26865810.71,27392815.95,27930159.04,28478042.75,29036673.87
35,o.ilukol,Fighting Cougars,10780000,10901350.84,11024067.74,11148166.06,11273661.37,11400569.37,11528905.99,11658687.3,11789929.55,11922649.21,12056862.9
36,d.binsalleh,Great Galactic Gorgons,13630000,14628102.36,15699294.11,16848927.46,18082746.56,19406916.19,20828052.57,22353256.42,23990148.42,25746907.32,27632310.77
37,g.kohler,Great Galactic Gorgons,18580000,20439100.06,22484220.2,24733973.43,27208835.19,29931329.65,32926234.75,36220807.67,39845032.95,43831895.34,48217680.01
38,l.wafula,Great Galactic Gorgons,20540000,20844446.64,21153405.83,21466944.45,21785130.39,22108032.52,22435720.75,22768266.02,23105740.32,23448216.7,23795769.32
39,k.turyahabwe,Great Galactic Gorgons,17100000,17689655.17,18299643.28,18930665.46,19583447.03,20258738.31,20957315.49,21679981.54,22427567.11,23200931.5,24000963.62
40,r.bintihassan,Great Galactic Gorgons,11910000,11990541,12071626.65,12153260.64,12235446.68,12318188.5,12401489.86,12485354.54,12569786.36,12654789.14,12740366.75
41,p.chew,Great Galactic Gorgons,24550000,24905061.98,25265259.16,25630665.8,26001357.25,26377409.94,26758901.4,27145910.31,27538516.45,27936800.78,28340845.42
42,m.hsieh,Great Galactic Gorgons,25340000,25975550.16,26627040.5,27294870.8,27979450.89,28681200.88,29400551.38,30137943.85,30893830.79,31668676.07,32462955.16
43,f.cho,Great Galactic Gorgons,30260000,32298680.78,34474711.83,36797346.73,39276462.51,41922601.61,44747016.74,47761718.75,50979527.67,54414127.24,58080123.11
44,z.marini,Great Galactic Gorgons,27640000,29004160.97,30435649.55,31937788.67,33514065.26,35168138.34,36903847.52,38725221.92,40636489.52,42642086.95,44746669.83
45,i.azulay,Great Galactic Gorgons,26370000,26622392.8,26877201.31,27134448.64,27394158.14,27656353.38,27921058.14,28188296.44,28458092.54,28730470.92,29005456.28
46,t.ansari,Great Galactic Gorgons,29870000,32753924.38,35916289.32,39383978.05,43186469.32,47356088.05,51928280.11,56941913.62,62439609.39,68468103.24,75078643.31
47,h.narvaez,Great Galactic Gorgons,31520000,34200013.77,37107897.9,40263027.26,43686424.07,47400897.99,51431198.09,55804177.76,60548973.6,65697199.58,71283157.68
48,b.kakooza,Great Galactic Gorgons,32610000,33210871.33,33822814.31,34446032.93,35080734.98,35727132.03,36385439.58,37055877.1,37738668.09,38434040.18,39142225.18
49,o.kia,Great Galactic Gorgons,30720000,31968780.49,33268324.41,34620695.32,36028040.66,37492595.16,39016684.39,40602728.47,42253245.89,43970857.51,45758290.74
50,h.engel,Great Galactic Gorgons,18810000,20369378.24,22058031.36,23886676.44,25866919.05,28011326.85,30333509.38,32848204.46,35571371.67,38520293.67,41713685.9
51,n.mousa,Great Galactic Gorgons,20660000,22070093.07,23576428.28,25185574.36,26904548.41,28740846.44,30702476.09,32797991.52,35036530.75,37427855.5,39982393.73
52,m.kamanga,Green Fleet,23880000,24697029.02,25542011.82,26415904.82,27319697.14,28254411.77,29221106.67,30220876.02,31254851.43,32324203.21,33430141.73
53,q.nabimanya,Green Fleet,3220000,3410657.89,3612604.74,3826508.97,4053078.58,4293063.5,4547258.05,4816503.59,5101691.3,5403765.13,5723724.91
54,d.daniel,Green Fleet,19050000,19272570.37,19497741.13,19725542.67,19956005.73,20189161.4,20425041.14,20663676.78,20905100.51,21149344.91,21396442.94
55,h.akugizibwe,Green Fleet,14680000,15514931.61,16397350.32,17329957,18315606.1,19357314.44,20458270.41,21621843.74,22851595.84,24151290.63,25524906.15
56,i.akpan,Green Fleet,12990000,13182820.31,13378502.8,13577089.95,13778624.88,13983151.34,14190713.75,14401357.15,14615127.3,14832070.6,15052234.14
57,t.awuah,Green Fleet,2.20E+07,23191183.52,24446863.31,25770531.52,27165869.36,28636757.35,30187286.14,31821767.85,33544748.09,35361018.6,37275630.53
58,m.ludwig,Green Fleet,14770000,15671903.74,16628880.62,17644293.58,18721710.94,19864918.86,21077934.74,22365021.27,23730701.45,25179774.46,26717332.52
59,i.najjemba,Green Fleet,3260000,3342012.58,3426088.37,3512279.27,3600638.5,3691220.6,3784081.49,3879278.51,3976870.42,4076917.48,4179481.44
60,x.nalukenge,Green Fleet,21140000,23119482.67,25284317.83,27651861.3,30241094.04,33072774.34,36169604.22,39556411.45,43260348.58,47311110.65,51741173.26
61,s.perez,Green Fleet,32590000,35180791.65,37977542.23,40996624.75,44255713.84,47773889.17,51571747.2,55671521.74,60097214.09,64874733.59,70032049.28
62,j.krajnc,Green Fleet,31170000,33364316.62,35713109.51,38227253.56,40918389.2,43798976.35,46882352.09,50182792.39,53715578.26,57497066.43,61544765.13
63,g.elbaz,Green Fleet,28400000,30084296.9,31868483.11,33758482.66,35760570.97,37881395.58,40127998.3,42507838.56,45028818.17,47699307.57,50528173.63
64,y.susanti,Green Fleet,27490000,28061645.01,28645177.17,29240843.68,29848896.88,30469594.32,31103198.96,31749979.18,32410208.98,33084168.02,33772141.81
65,a.schmitt,Green Fleet,18080000,18982950.06,19930995.18,20926387.51,21971491.65,23068790.3,24220890.16,25430528.12,26700577.72,28034056.05,29434130.86
66,h.gomani,Green Fleet,31430000,33249575.9,35174492.45,37210848.12,39365094.46,41644056.51,44054954.43,46605426.37,49303552.71,52157881.58,55177456.01
67,b.mulyana,Green Fleet,31790000,32961647.1,34176476.23,35436078.91,36742105.3,38096266.39,39500336.22,40956154.22,42465627.62,44030733.92,45653523.52
68,q.ayerango,Green Fleet,19920000,21862611.57,23994667.91,26334643.78,28902815.66,31721437.35,34814932.89,38210108.17,41936383.18,46026046.99,50514537.52
69,k.smits,Green Fleet,35260000,36903164.14,38622901.98,40422781.95,42306538.78,44278081.25,46341500.29,48501077.48,50761293.92,53126839.52,55602622.78
70,p.kabugo,Green Fleet,16090000,17599462.95,19250534.25,21056498.72,23031887.45,25192594.77,27556006.11,30141137.88,32968790.52,36061715.8,39444799.95
71,d.kojima,Green Fleet,27800000,30271837.05,32963457.51,35894403.39,39085954.34,42561282.05,46345618.53,50466439.29,54953662.84,59839867.87,65160529.84
72,a.aryemo,Horrible Grizzlies,23430000,24617260.09,25864681.79,27175313.65,28552358.69,29999182.24,31519320.18,33116487.52,34794587.57,36557721.37,38410197.84
73,e.yeong,Horrible Grizzlies,8810000,9453848.96,10144751.45,10886146.19,11681723.26,12535442.38,13451552.66,14434613.76,15489518.54,16621517.46,17836244.68
74,g.gustafsson,Horrible Grizzlies,15490000,15775154.5,16065558.4,16361308.32,16662502.69,16969241.73,17281627.51,17599763.98,17923757,18253714.4,18589745.96
75,r.hamed,Horrible Grizzlies,31860000,34857815.93,38137706.58,41726213.31,45652374.87,49947962.34,54647736.27,59789727.94,65415547.12,71570718.79,78305051.53
76,h.susanto,Horrible Grizzlies,22230000,23827044.36,25538823.34,27373579.69,29340148.34,31447998.92,33707281.39,36128874.89,38724440.16,41506475.64,44488377.7
77,g.lukyamuzi,Horrible Grizzlies,19540000,19865327.78,20196072.05,20532322.99,20874172.28,21221713.13,21575040.3,21934250.13,22299440.56,22670711.16,23048163.17
78,o.mugide,Horrible Grizzlies,31250000,33524287.68,35964091.65,38581457.75,41389308.43,44401506.64,47632924.22,51099515.34,54818395.28,58807924.9,63087801.35
79,f.nakazibwe,Horrible Grizzlies,24980000,27237031.86,29697994.59,32381314.04,35307080.96,38497201.33,41975560.42,45768201.62,49903521.46,54412482.15,59328843.48
80,z.okon,Horrible Grizzlies,30800000,33603967.41,36663202.13,40000943.17,43642545.15,47615670.94,51950501.77,56679966.51,61839991.8,67469774.97,73612081.8
81,g.nimusiima,Horrible Grizzlies,33180000,33999765.29,34839784.19,35700557.12,36582596.83,37486428.74,38412591.28,39361636.16,40334128.71,41330648.26,42351788.43
82,c.ahmad,Horrible Grizzlies,24900000,27241212.65,29802556.9,32604730.53,35670377.42,39024270.56,42693512.16,46707752.76,51099430.75,55904034.52,61160389.26
