,Player,Squad,Salary0,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9
1,i.winter,Fanatical Outlaws,26230000,27079965.16,27213196.27,27147074.56,27201353.74,27446005.44,27192677.07,27285136.82,27840050.46,26230000,26230000
2,p.nakubulwa,Fanatical Outlaws,10180000,10573302.05,10624196.13,10525137.88,10665844.8,10632569.19,10509875.92,10561583.61,10535921.43,10556987.46,10651938.06
3,i.huber,Fanatical Outlaws,27600000,28917221.65,28827004.86,28494359.07,28634548.88,28564973.61,28622087.81,28879517.73,28612957.95,28710246.9,29294143.83
4,f.kizito,Fanatical Outlaws,19740000,20300034.03,20661721.64,20606497.23,20502650.54,20601339.05,20409255.58,20682099.83,20617575.22,20379661.16,20479927.35
5,j.bala,Fanatical Outlaws,23030000,24053837.75,23776271.35,23893248.57,23835193.56,23882850.81,24097655.55,23875232.67,23956412.54,24443627.99,23030000
6,l.rezaei,Fanatical Outlaws,27030000,27975044.81,28030979.47,28283092.91,28022038.17,28117317.89,28689156.08,27030000,27030000,27030000,27030000
7,j.teko,Fanatical Outlaws,8020000,8391801.89,8314345.03,8342615.22,8512283.82,8020000,8020000,8020000,8020000,8020000,8020000
8,d.oren,Fanatical Outlaws,30120000,31557489.71,31459035.74,31096017.94,31249007.69,31173079.9,31235408.87,31516343.26,31225445.42,31331617.27,31968826.53
9,b.derosa,Fanatical Outlaws,27370000,28427433.9,28564267.97,28297939.48,28676244.8,28586779.82,28256906.07,28395927.64,28326932.16,28383570.41,28638855.08
10,i.namirimu,Fanatical Outlaws,25950000,26857284.97,26910984.73,27153024.82,26902400.68,26993873.45,27542863.5,25950000,25950000,25950000,25950000
11,s.kiconco,Fanatical Outlaws,17580000,18659095.96,17580000,17580000,17580000,17580000,17580000,17580000,17580000,17580000,17580000
12,r.chee,Fanatical Outlaws,5250000,5442682.22,5461188.27,5572255.62,5250000,5250000,5250000,5250000,5250000,5250000,5250000
13,f.pop,Fanatical Outlaws,32160000,33250337.36,33694849.57,33589727.41,33202122.74,33365474.34,33284404.03,33350954.49,33650916.31,33340316.22,33453679
14,d.alshehri,Fanatical Outlaws,21620000,22413483.73,22489693.41,22947079.34,21620000,21620000,21620000,21620000,21620000,21620000,21620000
15,i.iddrisu,Fanatical Outlaws,17300000,18107790.49,18059392.2,17968381.68,18054871.61,17886530.98,18125649.8,18069100.88,17860594.63,17948467.23,17904856.65
16,j.akello,Fanatical Outlaws,29220000,30241613.37,30302079.92,30574619.86,30292414.18,30395413.57,31013582.71,29220000,29220000,29220000,29220000
