,Player Name,Age,League,Squad,Country,Position,Annualized Salary
0,i.winter,28,A,Fanatical Outlaws,Danan Seekeeling,DF,26230000
1,p.nakubulwa,23,A,Fanatical Outlaws,Dosqaly,DF,10180000
2,z.iqbal,#N/A,A,Fanatical Outlaws,Galamily,DF,27000000
3,f.kizito,20,A,Fanatical Outlaws,People's Land of Maneau,DF,19740000
4,l.rezaei,30,A,Fanatical Outlaws,People's Land of Maneau,DF,27030000
5,s.anyait,30,A,Fanatical Outlaws,People's Land of Maneau,DF,18960000
6,j.teko,32,A,Fanatical Outlaws,Sobianitedrucy,DF,8020000
7,i.huber,26,A,Fanatical Outlaws,Lenia Gerdanho,DFFW,27600000
8,j.bala,27,A,Fanatical Outlaws,People's Land of Maneau,DFFW,23030000
9,d.oren,26,A,Fanatical Outlaws,Central Diasongo,FW,30120000
10,i.namirimu,30,A,Fanatical Outlaws,Thaijagypt,FW,25950000
11,m.namukwaya,32,A,Fanatical Outlaws,Ngoque Blicri,FWDF,27750000
12,j.akello,#N/A,A,Fanatical Outlaws,Bernepamar,FWMF,29220000
13,i.kamukama,27,A,Fanatical Outlaws,Lefghau,FWMF,34090000
14,w.lew,24,A,Fanatical Outlaws,Nganion,FWMF,23090000
15,b.derosa,23,A,Fanatical Outlaws,People's Land of Maneau,FWMF,27370000
16,d.john,24,A,Fanatical Outlaws,Pierrema,FWMF,32840000
17,s.kiconco,35,A,Fanatical Outlaws,Nkasland Cronestan,GK,17580000
18,r.chee,33,A,Fanatical Outlaws,Southslands,GK,5250000
19,f.pop,#N/A,A,Fanatical Outlaws,Galamily,MF,32160000
20,d.alshehri,33,A,Fanatical Outlaws,People's Land of Maneau,MF,21620000
21,i.iddrisu,#N/A,A,Fanatical Outlaws,People's Land of Maneau,MF,17300000
22,e.taylor,27,A,Fanatical Outlaws,People's Land of Maneau,MFFW,32720000
23,h.tourgeman,27,A,Fanatical Outlaws,Rarita,MFFW,30700000
24,q.hor,#N/A,A,Fighting Cougars,Byasier Pujan,DF,15100000
25,d.ikeda,28,A,Fighting Cougars,People's Land of Maneau,DF,17210000
26,g.kohler,26,A,Fighting Cougars,People's Land of Maneau,DF,23440000
27,i.ludwig,28,A,Fighting Cougars,People's Land of Maneau,DF,27450000
28,k.toth,25,A,Fighting Cougars,People's Land of Maneau,DF,26350000
29,u.ortiz,19,A,Fighting Cougars,People's Land of Maneau,DF,15200000
30,y.rabinovitch,28,A,Fighting Cougars,Western Niasland,DF,15950000
31,r.petrenko,25,A,Fighting Cougars,Lefghau,DFMF,18590000
32,d.kikuchi,#N/A,A,Fighting Cougars,Nkasland Cronestan,DFMF,19140000
33,z.no,22,A,Fighting Cougars,People's Land of Maneau,DFMF,14730000
34,w.nabatanzi,19,A,Fighting Cougars,Esia,FW,10230000
35,v.taheri,29,A,Fighting Cougars,People's Land of Maneau,FW,28630000
36,r.bintihassan,20,A,Fighting Cougars,Southslands,FW,18910000
37,k.goncalves,21,A,Fighting Cougars,Quewenia,FWDF,30370000
38,g.bellini,26,A,Fighting Cougars,Buhegeor,FWMF,24400000
39,l.wafula,23,A,Fighting Cougars,Dosqaly,FWMF,24770000
40,m.hsieh,26,A,Fighting Cougars,Lonnia Haba,FWMF,17540000
41,f.cho,#N/A,A,Fighting Cougars,Southern Ristan,FWMF,32370000
42,z.marini,28,A,Fighting Cougars,Central Republic of Boekrainego,GK,22740000
43,p.robinson,22,A,Fighting Cougars,Nganion,GK,22460000
44,i.azulay,28,A,Fighting Cougars,Byasier Pujan,MF,21300000
45,h.narvaez,23,A,Fighting Cougars,Reugha,MF,18780000
46,r.matovu,20,A,Fighting Cougars,Southslands,MF,2620000
47,p.chew,29,A,Fighting Cougars,Esia,MFDF,28480000
48,o.kia,21,A,Fighting Cougars,Western Niasland,MFDF,23910000
49,q.nabimanya,21,A,Fighting Cougars,Imaar Vircoand,MFFW,10780000
50,i.ocen,32,A,Fighting Cougars,People's Land of Maneau,MFFW,28360000
51,d.daniel,27,A,Great Galactic Gorgons,People's Land of Maneau,DF,13630000
52,f.kembabazi,23,A,Great Galactic Gorgons,People's Land of Maneau,DF,18790000
53,f.lieu,18,A,Great Galactic Gorgons,People's Land of Maneau,DF,3260000
54,h.akugizibwe,26,A,Great Galactic Gorgons,People's Land of Maneau,DF,18580000
55,i.akpan,37,A,Great Galactic Gorgons,People's Land of Maneau,DF,20540000
56,t.awuah,26,A,Great Galactic Gorgons,People's Land of Maneau,DF,17100000
57,t.barigye,23,A,Great Galactic Gorgons,People's Land of Maneau,DF,15110000
58,u.ban,20,A,Great Galactic Gorgons,People's Land of Maneau,DF,31340000
59,i.najjemba,27,A,Great Galactic Gorgons,Southslands,DF,24550000
60,x.nalukenge,30,A,Great Galactic Gorgons,Southslands,DF,25340000
61,i.bintiomar,#N/A,A,Great Galactic Gorgons,Djipines,DFMF,20450000
62,m.ludwig,32,A,Great Galactic Gorgons,Rarita,DFMF,11910000
63,r.lambert,23,A,Great Galactic Gorgons,Ngoque Blicri,FW,26200000
64,y.susanti,24,A,Great Galactic Gorgons,Ngoque Blicri,FW,27640000
65,a.schmitt,34,A,Great Galactic Gorgons,People's Land of Maneau,FW,26370000
66,u.rodrigues,17,A,Great Galactic Gorgons,People's Land of Maneau,FW,34980000
67,w.swee,20,A,Great Galactic Gorgons,People's Land of Maneau,FW,19550000
68,m.nkhata,16,A,Great Galactic Gorgons,People's Land of Maneau,FWDF,24470000
69,g.elbaz,24,A,Great Galactic Gorgons,Dosqaly,FWMF,30260000
70,h.gomani,32,A,Great Galactic Gorgons,Southslands,FWMF,29870000
71,a.soong,22,A,Great Galactic Gorgons,People's Land of Maneau,GK,25510000
72,a.tayebwa,21,A,Great Galactic Gorgons,Dosqaly,MF,10690000
73,d.kojima,29,A,Great Galactic Gorgons,Highhlaands,MF,31520000
74,a.aryemo,28,A,Great Galactic Gorgons,Ngoque Blicri,MF,32610000
75,g.gustafsson,26,A,Great Galactic Gorgons,People's Land of Maneau,MF,30720000
76,h.susanto,22,A,Great Galactic Gorgons,Redohrainbri,MF,18810000
77,f.nakazibwe,25,A,Great Galactic Gorgons,People's Land of Maneau,MFDF,20660000
78,z.okon,22,A,Green Fleet,Byasier Pujan,DF,23880000
79,g.nimusiima,26,A,Green Fleet,Central Diasongo,DF,3220000
80,d.chen,27,A,Green Fleet,Lefghau,DF,24280000
81,c.muyama,#N/A,A,Green Fleet,People's Land of Maneau,DF,19050000
82,g.hernandez,22,A,Green Fleet,People's Land of Maneau,DF,14680000
83,l.mugumya,22,A,Green Fleet,People's Land of Maneau,DF,12990000
84,u.kaahwa,17,A,Green Fleet,People's Land of Maneau,DF,7230000
85,u.wright,#N/A,A,Green Fleet,People's Land of Maneau,DF,22000000
86,z.agyei,19,A,Green Fleet,People's Land of Maneau,DF,14770000
87,q.sarfo,#N/A,A,Green Fleet,Xikong,DF,3260000
88,c.gheorghe,18,A,Green Fleet,Central Diasongo,FW,17030000
89,i.koomson,#N/A,A,Green Fleet,Djipines,FW,21140000
90,l.obote,24,A,Green Fleet,Dosqaly,FW,32590000
91,i.abeja,33,A,Green Fleet,Janmico,FW,38440000
92,j.namatovu,16,A,Green Fleet,People's Land of Maneau,FW,6920000
93,t.ichikawa,#N/A,A,Green Fleet,People's Land of Maneau,FW,31170000
94,z.nabaweesi,18,A,Green Fleet,People's Land of Maneau,FW,28400000
95,n.gheorghe,31,A,Green Fleet,Republic of Denand Landsa,FW,27490000
96,l.amadu,18,A,Green Fleet,Xikong,FW,32270000
97,s.avraham,32,A,Green Fleet,Nganion,FWMF,27800000
98,g.mwebaze,29,A,Green Fleet,Nganion,GK,18080000
99,p.kabugo,23,A,Green Fleet,People's Land of Maneau,GK,19620000
100,c.ji,#N/A,A,Green Fleet,Greri Landmoslands,MF,31790000
101,q.nabutono,27,A,Green Fleet,Lefghau,MF,19920000
102,p.bauri,#N/A,A,Green Fleet,Ngoque Blicri,MF,35260000
103,a.miura,31,A,Green Fleet,Rosvi,MF,16090000
104,u.guerin,17,A,Green Fleet,Tabhu Striary,MF,4470000
105,g.hartmann,23,A,Green Fleet,Byasier Pujan,MFFW,27650000
106,j.rukundo,#N/A,A,Green Fleet,Dosqaly,MFFW,31430000
107,a.haruna,25,A,Horrible Grizzlies,Dosqaly,DF,23430000
108,d.svensson,#N/A,A,Horrible Grizzlies,Esia,DF,8810000
109,o.khainza,35,A,Horrible Grizzlies,Lefghau,DF,11720000
110,y.eyotaru,#N/A,A,Horrible Grizzlies,Mico,DF,15490000
111,d.martini,29,A,Horrible Grizzlies,Nganion,DF,31860000
